DMG9000 - SN:23100118
Date  hh:mm:ss,DMG - VLL ph 1-AVG,DMG - VLL ph 2-AVG,DMG - VLL ph 3-AVG,BRN01 I ph 1-AVG,BRN01 I ph 2-AVG,BRN01 I ph 3-AVG,BRN01 W TOT-AVG,BRN01 kWh+ SUM TOT,BRN02 I ph 1-AVG,BRN02 I ph 2-AVG,BRN02 I ph 3-AVG,BRN02 W TOT-AVG,BRN02 kWh+ SUM TOT,BRN03 I ph 1-AVG,BRN03 I ph 2-AVG,BRN03 I ph 3-AVG,BRN03 W TOT-AVG,BRN03 kWh+ SUM TOT,DMG - PF TOT-AVG,DMG - Cos ph 1-AVG,DMG - Cos ph 2-AVG,DMG - Cos ph 3-AVG,DMG - VLN%THD ph 1-AVG,DMG - VLN%THD ph 2-AVG,DMG - VLN%THD ph 3-AVG,DMG - VLL%THD ph 1-AVG,DMG - VLL%THD ph 2-AVG,DMG - VLL%THD ph 3-AVG,DMG - A%THD ph 1-AVG,DMG - A%THD ph 2-AVG,DMG - A%THD ph 3-AVG,DMG - VA TOT-AVG,DMG - VLN TOT-MIN,DMG - VLL TOT-MIN,
 2025/06/13  17:45:06,      401.51,      400.27,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.41,       12.40,        6.41,        6.36,        6.52,        6.61,        6.60,        6.59,     3747.11,      231.86,      399.38,
 2025/06/13  17:50:07,      401.51,      400.29,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8592,      0.8571,       12.40,       12.40,       12.42,        6.41,        6.37,        6.53,        6.60,        6.61,        6.60,     3747.49,      231.93,      399.50,
 2025/06/13  17:55:07,      401.50,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.41,       12.39,       12.41,        6.41,        6.36,        6.52,        6.60,        6.60,        6.60,     3747.24,      231.94,      399.54,
 2025/06/13  18:00:08,      401.53,      400.29,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.41,       12.39,        6.41,        6.35,        6.53,        6.60,        6.60,        6.60,     3747.44,      231.81,      399.17,
 2025/06/13  18:05:08,      401.54,      400.29,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.42,       12.41,        6.40,        6.36,        6.53,        6.60,        6.61,        6.60,     3747.72,      231.96,      399.49,
 2025/06/13  18:10:09,      401.51,      400.27,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.41,       12.41,       12.40,        6.41,        6.36,        6.52,        6.60,        6.60,        6.60,     3747.29,      231.92,      399.47,
 2025/06/13  18:15:09,      401.51,      400.29,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.40,       12.40,        6.40,        6.36,        6.51,        6.60,        6.60,        6.59,     3747.41,      231.90,      399.38,
 2025/06/13  18:20:10,      401.51,      400.29,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.41,       12.38,        6.41,        6.36,        6.52,        6.60,        6.60,        6.59,     3747.45,      231.95,      399.50,
 2025/06/13  18:25:10,      401.53,      400.27,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.42,       12.40,       12.42,        6.41,        6.36,        6.53,        6.60,        6.61,        6.61,     3747.36,      231.99,      399.58,
 2025/06/13  18:30:11,      401.51,      400.27,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.40,       12.42,        6.40,        6.37,        6.53,        6.60,        6.61,        6.61,     3747.26,      231.87,      399.35,
 2025/06/13  18:35:11,      401.51,      400.30,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.39,       12.41,        6.39,        6.36,        6.53,        6.59,        6.60,        6.60,     3747.45,      231.92,      399.49,
 2025/06/13  18:40:12,      401.49,      400.29,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.41,       12.40,       12.40,        6.41,        6.37,        6.53,        6.61,        6.61,        6.61,     3747.18,      231.94,      399.52,
